Account_ID,Period,MRR_Starting,Expansion_Revenue,Contraction_Revenue,Churned_Revenue,Clients_Start_Period,Clients_Churned,Clients_Eligible_for_Renewal,Clients_Renewed
ACC001,2025-Q4,4800,500,100,0,80,0,16,15
ACC001,2026-Q1,5200,300,50,0,85,0,12,11
ACC002,2025-Q4,8000,800,100,0,150,2,25,24
ACC002,2026-Q1,8600,600,200,0,160,1,20,19
ACC003,2025-Q4,3000,200,100,150,60,8,15,9
ACC003,2026-Q1,3100,150,150,100,52,6,12,7
ACC004,2025-Q4,6500,400,50,0,120,0,20,19
ACC004,2026-Q1,6800,500,100,0,130,1,18,17
ACC005,2025-Q4,4200,0,300,500,100,20,18,5
ACC005,2026-Q1,4000,0,400,600,80,25,20,4
ACC006,2025-Q4,2500,100,120,180,50,10,10,4
ACC006,2026-Q1,2600,50,180,200,42,11,12,5
ACC007,2025-Q4,3600,300,150,50,75,5,14,10
ACC007,2026-Q1,3700,200,100,0,70,3,16,12